,Name,Weather,Latitude,Longitude,Elevation,Analized days,Total data,CSI data,SSPC_MBD,SSPC_MAPD,SSPC_MAD,SSPC_RMSD,SSPC_SD,SSPC_NSE_o_R2,SSPC_SBF,SSPC_U95,SSPC_TS,SSPC_WIA,SSPC_LCE,SSPC_KSI,SSPC_OVER,SSPC_CPI,SSPC_KSI_norm,SSPC_OVER_norm,SSPC_CPI_norm,ESRA_RMSD,I&P_RMSD,HLJ_RMSD,Mghouchi_RMSD,Biga_RMSD,FR1999_RMSD,S1994_RMSD,DPP_RMSD,M1976_RMSD,L1970_RMSD,Kasten_RMSD,SP1965_RMSD,Hourwitz_RMSD,Om
53,Regina,D,50.205,-104.713,578,730,1042980,141823,5,6.11,5.37,7.72,7.79,0.26,0.6,21.5,15.26,0.79,0.35,343.64,34.2,98.32,21065.53,5633.3,6678.57,9.16,0.13,50.54,56.18,10.99,68.49,12.9,53.47,12.51,8.79,10.02,11.95,22.75,784.82
54,University of Reunion Island,A,-20.9014,55.4836,116,580,835199,113036,4.19,5.07,4.39,6.34,6.39,0.47,0.66,17.65,14.07,0.85,0.44,94.63,29.25,34.14,11957.3,2095.99,3516.49,5.96,1.1,55.73,40.95,6.66,52.43,5.97,38.05,5.93,5.43,6.26,5.68,22.05,817.37
55,Rock Springs,C,40.72,-77.933333,376,3773,5411152,443789,4.48,5.55,4.87,6.92,7.02,0.37,0.65,19.33,13.98,0.82,0.4,3533.66,40.63,897.03,14796.91,3210.85,4505.4,7.64,0.49,54.38,51.89,11.13,63.9,10.74,49.48,10.61,9.15,7.99,10.26,25.11,781.54
56,Saﬁo Martinho da Serra,C,-29.44278,-53.82305,489,2722,3579990,304048,3.78,4.87,4.25,5.95,6,0.63,0.74,16.56,16.86,0.89,0.55,543.27,72.12,156.82,16758.07,3379.88,5037.46,6.55,0.21,46.64,46.39,7.97,60.16,7.37,45.09,7.16,6,6.65,6.77,23.77,795.95
57,Sapporo,C,43.06,141.3286,17.2,3897,5588022,456428,5.93,7.8,6.65,9.28,9.41,0.21,0.62,25.91,13.83,0.79,0.31,476.3,63.43,139.57,15153.38,3777.07,4737.25,10.44,1.45,64.48,48.25,12.64,58.99,10.98,46.01,10.98,10.99,11.57,10.99,36.05,722.08
58,Sede Boqer,B,30.85972,34.77944,500,1096,1359329,307814,6.13,7.64,6.37,8.7,8.75,0.5,0.67,24.18,21.56,0.85,0.42,121.08,33.84,43.08,28252.94,6773.4,8760.93,7.95,0.19,39.54,38.27,10.43,52.89,8.45,35.95,8.5,10.29,8.62,8.6,28.74,780.68
59,Selegua,A,15.784016,-91.990174,602,366,527040,35965,3.49,4.21,3.66,5.13,5.18,0.29,0.63,14.28,14.49,0.83,0.4,126.9,7.39,36.14,8518.6,606.97,2283.96,6.25,0.17,34.48,34.3,5.9,51.38,3.47,33.04,3.58,7.5,3.78,3.63,24.5,807.55
60,Sioux Falls,D,43.73,-96.62,473,3621,5202128,684635,4.75,5.84,5.12,7.25,7.32,0.42,0.65,20.19,15.87,0.83,0.41,253.15,33.85,75.38,19437.92,4615.79,6017.05,9.08,0.25,52.28,53.67,11.37,65.95,11.39,51.41,11.19,9.2,9.83,10.81,23.9,785.08
61,Sonnblick,D,47.054,12.9577,3108.9,2922,4013923,350347,3.74,4.35,3.88,6.09,6.18,0.3,0.56,17.01,11.52,0.78,0.4,625.83,99.94,184.49,21369.19,7114.41,7123.94,10.23,7.97,15.12,63.02,21.81,83.51,34.36,61.01,24.37,10.23,11.9,23.78,8.96,916.14
62,South Pole,E,-89.983,-24.799,2800,2738,3942532,64311,0.44,0.44,0.44,0.5,0.5,-3.1,0.1,1.37,54.04,0.45,-1.13,172894.04,134825.33,76930.09,408651.46,326384.75,183759.3,7.03,6.91,26.83,77.71,34.53,93.63,44.35,78.41,37.42,7.7,7.55,36.89,9.26,1005.06
63,Southern Great Plains,C,36.605,-97.485,318,3499,5016345,738107,4.2,5.46,4.74,6.57,6.62,0.51,0.71,18.28,17.82,0.87,0.48,140.66,33.6,46.85,18506.2,4056.77,5644.03,7.02,0.63,53.71,48.18,11.05,60.22,9.4,46.06,9.33,8.56,6.99,9.13,23.84,796.45
64,Syowa,E,-69.005,39.589,18,4018,5785760,614281,5.16,6.08,5.33,7.84,7.9,0.15,0.53,21.82,17.66,0.76,0.33,722.98,248.88,246.89,45745.95,19833.87,16398.88,17.29,1.33,76.58,64.47,20.54,73.9,22.17,64.87,22.12,21.93,19.61,21.41,12.77,856.79
65,Tamanrasset,B,22.7903,5.5292,1385,4018,5696988,761306,5.06,6.22,5.39,7.27,7.31,0.24,0.68,20.2,22.6,0.85,0.38,313.06,57.78,96.35,31494.14,8624.06,10033.19,8.36,2.35,15.54,39.25,13.43,58.85,12.17,38.19,11.47,12.01,9.22,11.34,18.34,864.61
66,Tateno,C,36.0581,140.1258,25,4018,5785920,563982,4.99,6.28,5.49,7.46,7.52,0.38,0.67,20.77,17.72,0.82,0.37,200.69,39.13,63.69,19604.25,4562.25,6045.36,9.13,1.39,63.74,47.2,10.87,58.1,9.2,45.82,9.2,9.19,9.5,9.15,27.67,771.36
67,Tiksi,D,71.58616,128.91883,48,2854,4062095,188537,5.05,6.4,5.7,8.07,8.18,-0.04,0.55,22.52,14.46,0.74,0.23,472.89,136.3,156.33,21837.71,7544.67,7349.63,12.19,1.39,74.85,64.99,10.11,73.87,13.3,61.88,13.24,12.78,15.12,12.45,32.84,702.89
68,Tiruvallur,A,13.0923,79.97385,36,1645,1797969,9142,1.61,5.72,4.95,6.58,6.79,-1.08,0.78,18.54,7.44,0.85,0.28,31.91,8.22,13.32,2178.71,280.27,618.04,10.2,1.66,59.25,41.78,39.93,55.91,29.36,40.15,29.46,30.14,8.86,30.99,85.42,538.39
69,Toravere,D,58.254,26.462,70,4018,5773846,499922,5.35,6.87,5.98,8.5,8.61,0.17,0.61,23.71,14.69,0.78,0.31,1322.29,46.76,346.51,19908.88,5661.08,6396.74,10.62,1.3,69.1,58.11,10.42,67.44,11.37,54.87,11.33,10.87,12.36,10.82,30.43,733.23
70,Xianghe,D,39.754,116.962,32,2130,2716076,147387,5.07,6.47,5.78,7.43,7.48,0.33,0.74,20.67,20.6,0.84,0.33,443.84,59.82,129.63,23549.49,6511.98,7519.08,7.62,1.41,63.62,47.39,9.91,58.67,8.05,45.72,8.06,8.11,7.95,8.11,34.26,728.8
71,Yushan,C,23.4876,120.9595,3858,618,669587,75638,1.1,1.37,1.28,1.83,1.84,0.66,0.84,5.09,11.34,0.94,0.7,97.09,18.41,29.79,11199.08,903.53,3026.56,8.12,10.88,22.44,53.71,23.99,79.23,39.99,52.2,23.8,8.4,11.72,23.43,7.23,1021.62
